accession,hypothesis_member,arithmetic_role,independent_verification,index_status,title_or_note,physical_contribution_under_H1,object_url
2025.71,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.71
2025.72,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.72
2025.73,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.73
2025.74,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.74
2025.75,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.75
2025.76,1,top-level H1 member,verified_or_official_reference,indexed_exact_or_official_reference,Li Wenzhong Clears the North,1,https://www.clevelandart.org/art/2025.76
2025.77,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.77
2025.78,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.78
2025.79,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.79
2025.80,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.80
2025.81,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.81
2025.82,1,cover/set top-level; replaced by .1-.4,verified_corpus_cover,indexed_exact_or_official_reference,Westlake Panorama / 西湖全景 (cover/set record),0,https://www.clevelandart.org/art/2025.82
2025.83,1,top-level H1 member,verified_or_official_reference,indexed_exact_or_official_reference,Music in the Jade Palace / 瓊宮樂奏圖,1,https://www.clevelandart.org/art/2025.83
2025.84,1,top-level H1 member,verified_or_official_reference,indexed_exact_or_official_reference,Gathering Osmanthus / 折桂圖,1,https://www.clevelandart.org/art/2025.84
2025.85,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.85
2025.86,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.86
2025.87,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.87
2025.88,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.88
2025.89,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.89
2025.90,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.90
2025.91,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.91
2025.92,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.92
2025.93,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.93
2025.94,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.94
2025.95,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.95
2025.96,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.96
2025.97,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.97
2025.98,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.98
2025.99,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.99
2025.100,1,top-level H1 member,verified_or_official_reference,indexed_exact_or_official_reference,View of Changmen Gate in Suzhou / 蘇州閶門景,1,https://www.clevelandart.org/art/2025.100
2025.101,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.101
2025.102,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.102
2025.103,1,top-level H1 member,verified_or_official_reference,indexed_exact_or_official_reference,Eight Immortals and Twelve Zodiac Animals,1,https://www.clevelandart.org/art/2025.103
2025.104,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.104
2025.105,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.105
2025.106,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.106
2025.107,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.107
2025.108,1,top-level H1 member,verified_or_official_reference,indexed_exact_or_official_reference,Bird on Pomegranate (official joint acquisition press release),1,https://www.clevelandart.org/art/2025.108
2025.109,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.109
2025.110,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.110
2025.111,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.111
2025.112,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.112
2025.113,1,top-level H1 member,verified_or_official_reference,indexed_exact_or_official_reference,Lotus Seeds and Water Caltrops / 蓮蓬和菱角,1,https://www.clevelandart.org/art/2025.113
2025.114,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.114
2025.115,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.115
2025.116,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.116
2025.117,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.117
2025.118,1,top-level H1 member,verified_or_official_reference,indexed_exact_or_official_reference,Bird on Lotus / 蓮花上的喜鵲,1,https://www.clevelandart.org/art/2025.118
2025.119,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.119
2025.120,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.120
2025.121,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.121
2025.122,1,top-level H1 member,verified_or_official_reference,indexed_exact_or_official_reference,"Chrysanthemum, Begonia, and Blue Asters",1,https://www.clevelandart.org/art/2025.122
2025.123,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.123
2025.124,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.124
2025.125,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.125
2025.126,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.126
2025.127,1,top-level H1 member,verified_or_official_reference,indexed_exact_or_official_reference,Plum and Camellia in a Bronze Vase (official CMA acquisition article),1,https://www.clevelandart.org/art/2025.127
2025.128,1,top-level H1 member,unresolved,no_exact_indexed_hit,,1,https://www.clevelandart.org/art/2025.128
2025.129,0,conditional_outside_H1,unresolved,no_exact_indexed_hit,,0_if_H1_true,https://www.clevelandart.org/art/2025.129
2025.130,0,upper_negative_control,verified_non_corpus,indexed_exact_or_official_reference,Melchizedek Blessing Abraham (verified non-corpus negative control),0,https://www.clevelandart.org/art/2025.130
2025.82.1,1,component_of_2025.82,verified_corpus_component,indexed_exact_or_official_reference,Westlake Panorama / 西湖全景 (component 1 of 4),1,https://www.clevelandart.org/art/2025.82.1
2025.82.2,1,component_of_2025.82,verified_corpus_component,indexed_exact_or_official_reference,Westlake Panorama / 西湖全景 (component 2 of 4),1,https://www.clevelandart.org/art/2025.82.2
2025.82.3,1,component_of_2025.82,verified_corpus_component,indexed_exact_or_official_reference,Westlake Panorama / 西湖全景 (component 3 of 4),1,https://www.clevelandart.org/art/2025.82.3
2025.82.4,1,component_of_2025.82,verified_corpus_component,indexed_exact_or_official_reference,Westlake Panorama / 西湖全景 (component 4 of 4),1,https://www.clevelandart.org/art/2025.82.4
