edge_id,city,date_or_range,source_node,target_node,relation,object_or_practice,evidence_level,claim_boundary,source_url
LON011,London,c1858 onward,Jeremiah Slade / Working Men's College Museum,WMC natural-history teaching,museum_curation,"Rocks and fossils identified with help from British Museum friends; cabinets made and filled; dedicated room eventually displayed a substantial natural-history collection",A_NEAR_PRIMARY_RETROSPECTIVE,"First-person retrospective printed in Marks 1904 pp.226-227; establishes specimen/cabinet/display infrastructure but no microscope-slide claim",https://archive.org/stream/workingmenscolle00davirich/workingmenscolle00davirich_djvu.txt
SHF001,Sheffield,1842-1878,People's College Sheffield,young working men and women,teaches,"Science; philosophy; natural history among extensive before/after-work classes",C_CONTEXT,"Adult-science institution established; no microscope/slide relation yet closed",https://archives.shef.ac.uk/agents/corporate_entities/212
SHF002,Sheffield,1836-1842,Robert Slater Bayley,Sheffield Mechanics' Institute / People's College,lecturer_then_founder,"Adult evening education and later People's College",C_CONTEXT,"Institutional bridge only; no direct microscope or slide relation",https://archives.shef.ac.uk/agents/people/505
SHF003,Sheffield,1852-1862,Henry Clifton Sorby,Sorby chemical precipitate slide set,prepared,"Glass-mounted chemical precipitates and related microscopy",A_CONTEXT,"Hard slide evidence in Sheffield scientific practice; not property of People's College or Mechanics' Institution",https://eprints.whiterose.ac.uk/145837/
SHF004,Sheffield,1861,External/British Museum correspondence,Sorby preparations,technical_feedback,"Section thickness; caustic potash; Canada balsam; breakage and remaking",A_OBJECT,"Primary archival preparation chain; adult-education institutional transfer not yet shown",https://github.com/zhhos98-cell/Henry_Clifton_Sorby/blob/main/MICROSCOPY_SHEFFIELD_LOCAL_KNOWLEDGE.md
SHF005,Sheffield,1868-1869,Frank Smith + Sorby,Sheffield School of Medicine students,teaching_with_preparations,"Bile preparations; human blood specimens; spectrum microscopes lent for student examination",A_OBJECT,"Direct Sheffield material pedagogy; medical-school case rather than working-men institution",https://github.com/zhhos98-cell/Henry_Clifton_Sorby/blob/main/MICROSCOPY_SHEFFIELD_LOCAL_KNOWLEDGE.md
SHF006,Sheffield,c1875-1893,George Robert Vine,local and national microscopists,prepared_sold_exchanged,"Micropalaeontological strews/cavity slides; mounting service; exchange and sale",A_OBJECT,"Self-taught stay-maker provides working-class slide-production node; no People's College enrolment asserted",https://www.bryozoa.net/annals/annals1/annals_of_bryozoology_1_1_2002_buttler_wysejackson_sharpe.pdf
SHF007,Sheffield,late 19c,George Robert Vine,Sheffield Microscopical Society,cofounder_first_president,"Microscopical society formation and local instruction network",B_DIRECT,"Organizational relation strong; exact founding date and first slide accessions require society records",https://www.bryozoa.net/annals/annals1/annals_of_bryozoology_1_1_2002_buttler_wysejackson_sharpe.pdf
SHF008,Sheffield,1890s,G T W Newsholme,pharmacy trainees/customers,sold_prepared_slides,"Prepared pharmaceutical/botanical microscope slides; microscopical analyses",A_OBJECT,"Commercial educational slide economy; preparer identity for every slide not always explicit",https://www.microscopist.net/NewsholmeGTW.html
SHF009,Sheffield,1891,Arthur Hall + Newsholme,Sheffield Medico-Chirurgical Society,projected_microphotographic_slides,"Micro-photographic slides from physiological/pathological sections; explicit teaching-value claim",A_OBJECT,"Projection images from sections; distinguish lantern/microphotographic slides from microscope specimen slides",https://www.microscopist.net/NewsholmeGTW.html
SHF010,Sheffield,1899,Sheffield Microscopical Society,members,museum_building_norm,"Museum of typical slides/specimens; Newsholme urges duplicate mounting for society",A_OBJECT,"Existing small collection explicitly stated; duplicate-mounting proposal is normative, not proof of universal compliance",https://www.microscopist.net/NewsholmeGTW.html
CAM001,Cambridge,1855,Cambridge Working Men's College,working men,established,"Formal college on London WMC model",B_DIRECT,"Institution firmly established; microscopy/slide relation still open",https://upload.wikimedia.org/wikipedia/commons/9/93/Brief_memoir_of_Alexander_Macmillan_-_being_the_introduction_to_a_selection_of_Alexander_Macmillan%27s_letters_%28IA_briefmemoirofale00macm%29.pdf
CAM002,Cambridge,26 Mar 1855,G D Liveing,Cambridge Working Men's College,offered_to_teach,"University science actor in founding teacher network",C_CONTEXT,"Liveing's scientific identity is known; subject actually taught at WMC not yet established",https://www.electricscotland.com/webclans/m/lifelettersofale00gravuoft.pdf
CAM003,Cambridge,1855-1856,James Clerk Maxwell,Cambridge Working Men's College,participated_in_teaching,"Working-men classes; direct letter evidence",B_DIRECT,"Maxwell's participation is secure; his optics research/Trinity optics lectures must not be projected onto WMC teaching",https://www.gutenberg.org/files/79044/79044-src/maxwell.html
CAM004,Cambridge,12 Mar 1856,James Clerk Maxwell,Cambridge Working Men's College,teaches,"Decimal fractions",B_DIRECT,"Direct primary-source class content; currently evidence for mathematics, not microscopy",https://www.gutenberg.org/files/79044/79044-src/maxwell.html
CAM005,Cambridge,1855 onward,Josiah Chater,Cambridge Working Men's College,student,"Working Cambridge tradesman; diaries document WMC participation and wider self-education",B_DIRECT,"High-value student-side witness; full 1855-1871 diary pass still required for science/apparatus terms",https://capturingcambridge.org/museum-of-cambridge/museum-exhibit-stories/the-diaries-of-josiah-chater/
CAM006,Cambridge,Oct 1855,Josiah Chater,Lightfoot + Mayor classes,studies,"German and Latin at WMC",B_DIRECT,"Direct local reconstruction of early classes; no microscopy claim",https://capturingcambridge.org/centre/market/6-market-hill/
CAM007,Cambridge,Oct 1860,Henry Sidgwick,Cambridge Working Men's College,elected,"Later university reformer enters college teaching network",B_DIRECT,"Administrative continuity point; subject/material teaching remains open",https://archives.trin.cam.ac.uk/index.php/informationobject/browse?names=38525&sf_culture=en&sort=endDate&sortDir=desc&topLod=0&view=table
CAM008,Cambridge,1855-c1863+,Cambridge Working Men's College,material_pedagogy,OPEN_GAP,"microscope; slides; preparations; apparatus; specimens; practical science",GAP,"No closed slide or microscope evidence in current source pass; this is a research gap, not historical absence",https://github.com/zhhos98-cell/slides_history_microscopy/blob/research/working-mens-microscopy-19c/docs/CAMBRIDGE_WORKING_MENS_COLLEGE_1855.md
