node_id,region,locality,institution_or_network,institution_type,date_anchor,microscopy_relation,slide_preparation_relation,evidence_tier,disposition,primary_next_target,source_url
UKWMC018,London/Essex,Stratford,Great Eastern Railway Mechanics' Institution Natural History and Microscopical Section,employer mechanics' institution / section,c1885-1886,"Section of about 50 members formed to encourage microscopy among Great Eastern Railway employees","Slide collection/exchange not yet found",B,HIGH_PRIORITY,"Section reports; soirees; inventories; member names; GER staff records",https://upload.wikimedia.org/wikipedia/commons/3/3a/Hardwicke%27s_Science-Gossip_-_Volume_22.pdf
UKWMC019,South East England,Guildford,Guildford Working Men's Institute -> Guildford Natural History and Microscopical Society,working men's institute / successor society,1893,"Natural History and Microscopical Society established by members of Working Men's Institute","Slide holdings not yet identified",B,HIGH_PRIORITY,"Founding member crosswalk; first minutes; early collections; Surrey History Centre holdings",https://www.surreycc.gov.uk/culture-and-leisure/history-centre/marvels/studying-flora-and-fauna
UKWMC020,Ireland,Belfast,Working Men's Institute and Temperance Hall,working men's institute,c1868-1890,"Chemical laboratory inside WMI; Robert Barklie invited chemical or microscopical samples for examination","Microscopical samples explicit but mounted-slide format not proven",B,HIGH_PRIORITY,"Barklie laboratory records; pharmacy/botany classes; apparatus; samples/preparation registers",https://www.lennonwylie.co.uk/BSD1880adverts.htm
UKWMC021,East Midlands,Leicester,Working Men's Institute / Working Men's College,working men's institute/college,1862; renamed college 1868,"Large adult-education operation modelled on London WMC","No microscopy or slide trace in first pass",C,OPEN,"College annual reports; science classes; apparatus and museum records",https://en.wikisource.org/wiki/Dictionary_of_National_Biography%2C_1912_supplement/Vaughan%2C_David_James
UKWMC022,East of England,Cambridge,Cambridge Working Men's Club and Institute,working men's club and institute,1860s-1870s,"Confirmed institutional presence; 1876 Arts Industry and Manufactures exhibition medal survives","No microscopy/slide trace in first pass",C,HIGH_PRIORITY,"Club programmes; exhibition catalogues; accounts; Cambridge newspapers; microscope/slide search",https://data.fitzmuseum.cam.ac.uk/id/object/229050
UKWMC023,East of England,Cambridge,Barnwell working-men classes / Newnham network,adult school / university-linked voluntary education,late 19c,"Newnham students taught working men in St Matthew's Schoolroom for years","No microscopy/slide trace in first pass",C,OPEN,"Class subjects; Newnham papers; local natural-history teachers; Barnwell press",https://www.gutenberg.org/cache/epub/53909/pg53909-images.html
UKWMC024,East of England,Cambridge,Castle End Mission and Working Men's Institute,mission / working men's institute,1884 onward,"Adult education and mission node in Cambridge town-gown ecology","No microscopy/slide trace in first pass",C,OPEN,"Institute annual reports; apparatus; class programmes; university volunteer teachers",https://www.geograph.org.uk/photo/4341185
UKWMC025,Scotland,Glasgow,Glasgow Mechanics' Institution,mechanics' institution,1823-1887,"Major early mechanics' institution with surviving institutional archive","No direct microscopy/slide trace surfaced in first pass",C,OPEN,"Strathclyde OC records: lectures; museum; apparatus; microscopy keywords",https://atom.lib.strath.ac.uk/college-of-science-and-arts-records%3Bisad
UKWMC026,Scotland,Edinburgh,William Nicol / early geological thin-section network,preparatory/material context,1830s,"Early microscopical investigation of minerals","Surviving glass-mounted fossil wood/mineral thin sections; potential upstream preparation technology",A,CONTEXT,"Trace connections to Edinburgh adult/mechanics teaching and slide circulation",https://www.trove.scot/image/2932657
UKWMC027,Wales,South Wales and north-east Wales,Workmen's Institutes landscape,workmen's institutes,1880s-1899 in current scope,"Dense late-century self-education/lecture/meeting infrastructure","No secure nineteenth-century microscopy/slide node surfaced in first pass",C,REGIONAL_FRONTIER,"Institution-by-institution newspaper search; naturalist clubs; Science and Art classes; surviving cabinets",https://www.peoplescollection.wales/content/laying-foundations-workmens-institutes
UKWMC028,Yorkshire,Leeds,Leeds Mechanics' Institute / local naturalist interface,mechanics' institution and naturalist ecology,19c,"Naturalists' clubs used mechanics-institute settings; microscopy active in local club network","Specific institute-owned slides not yet isolated",C,OPEN,"Conversazioni; Leeds Naturalists' Field Club; W B Turner mounter network; institute inventories",https://www.studylib.net/doc/7662864/william-barwell-turner--1845-%E2%80%93-1917---life---microscopy-uk
