node_id,region,locality,institution_or_network,institution_type,date_anchor,microscopy_relation,slide_preparation_relation,evidence_tier,disposition,primary_next_target,source_url
UKWMC011,London,South London,South London Working Men's College,working men's college,late 1860s onward,"T H Huxley principal from 1868; physical science emphasized as central to liberal education","No direct microscopy/slide event yet recovered",C,HIGH_PRIORITY,"Class timetables; physical science apparatus; Huxley/Rossiter records; natural-history teaching",https://www.gutenberg.org/files/16729/16729-h/16729-h.htm
UKWMC012,London,London,Society of Amateur Botanists,successor amateur society,1862-1866,"Formed by Cooke and former WMC pupils; specimen interchange/library/herbarium/museum; blueprint for Quekett","Mounted-slide relation not yet isolated",B,HIGH_PRIORITY,"NHM manuscript proceedings; member list; preparation vocabulary; WMC pupil crosswalk",https://www.tandfonline.com/doi/full/10.1080/00033790.2023.2181398
UKWMC013,London,London,Quekett Microscopical Club,amateur microscopical society,1865 onward,"Direct institutional successor in Cooke/WMC genealogy; major popular microscopy hub","General slide collection >2000 preparations by 1873; borrowing and slide exchange",A,HIGH_PRIORITY,"Early accession/donation/exchange records; WMC alumni contributors; makers/preparers",https://academic.oup.com/jhc/article/37/3/507/8653474
UKWMC014,London,London,Birkbeck Institution,mechanics-institute lineage / adult higher education,1884 onward practical microscopy,"Martin J Cole Instructor in Practical Microscopy","Cole family produced slides; Martin supplied teaching slides to students; subscription slides paired with texts",A,HIGH_PRIORITY,"Birkbeck biological laboratory; class registers; surviving Cole/Birkbeck slides",https://www.microscopist.net/Cole_AC_MJ.html
UKWMC015,North East England,South Shields,Working Men's Club and Institution,working men's club and institute,1850; microscopical society 1861,"South Shields Microscopical Society established as offshoot of Institution","Slide collection not yet located",B,HIGH_PRIORITY,"Society minutes; newspapers; museum/library transfer records; cabinet/preparation inventory",https://www.natsca.org/sites/default/files/publications-full/Biology%20Curators%20Group%20Newsletter%20Vol%202%20No%205.pdf
UKWMC016,North East England,Newcastle upon Tyne,Newcastle-upon-Tyne Mechanics' Institution,mechanics' institution,1867,"Conversazione and Microscopical Soiree","Thomas Craggs exhibited injected preparations made by A B Stirling",A,HIGH_PRIORITY,"Full 1867 exhibit list; preparation subjects/count; later soirees; surviving Stirling material",https://microscopist.net/Craggs.html
UKWMC017,North West England,Manchester,Manchester Mechanics' Institution -> Manchester Microscopical Society,mechanics' institution / microscopical society,1879,"Low-fee microscopical society founded in Mechanics' Institution; mechanics and young men of small means emphasized","Slide collection/exchange not yet isolated",B,HIGH_PRIORITY,"Founding minutes; early object lists; occupations; mounters; exchange notices",https://microscopist.net/BrittainT.html
UKWMC018,North West England,Stalybridge,Ridge Hill Lane Working Men's Institute,working men's institute,1861 onward,"Institution possessed microscope for members' use","No slides/cabinet identified",B,HIGH_PRIORITY,"Minutes; museum/library inventory; purchase/donation lists; demonstrations",https://www.scribd.com/document/232494296/Bygone-Stalybridge
UKWMC019,Ireland,Belfast,Working Men's Institute and Temperance Hall,working men's institute,c1868-1890,"Chemical laboratory; Robert Barklie invited microscopical samples for examination","Microscopical samples explicit; glass-slide format not proven",B,HIGH_PRIORITY,"Barklie records; botany/pharmacy classes; apparatus; sample/preparation registers",https://www.lennonwylie.co.uk/BSD1880adverts.htm
UKWMC020,London/Essex,Stratford,Great Eastern Railway Mechanics' Institution Natural History and Microscopical Section,employer mechanics' institution / section,c1885-1886,"Section c50 members formed to encourage microscopy among railway employees","Slide collection/exchange not yet found",B,HIGH_PRIORITY,"Section reports; member list + railway occupations; soirees; cabinets; mounting/exchange",https://upload.wikimedia.org/wikipedia/commons/3/3a/Hardwicke%27s_Science-Gossip_-_Volume_22.pdf
UKWMC021,South East England,Guildford,Guildford Working Men's Institute -> Guildford Natural History and Microscopical Society,working men's institute / successor society,1893,"Natural History and Microscopical Society established by WMI members","Slide holdings not yet identified",B,HIGH_PRIORITY,"Founding members; minutes; first collections; Surrey History Centre",https://www.surreycc.gov.uk/culture-and-leisure/history-centre/marvels/studying-flora-and-fauna
UKWMC022,West Midlands,Birmingham,Birmingham and Midland Institute,adult scientific institute,1859 onward scientific societies,"Natural History and Microscopical Societies established; penny science lectures reached artisans","Slide holdings not yet identified",B,HIGH_PRIORITY,"Microscopical society minutes; institute collections; member-dealer crosswalk",https://www.gutenberg.org/ebooks/49622
UKWMC023,West Midlands,Birmingham,J Parkes & Son commercial supply network,commercial microscope and slide dealer,1857 catalogue,"Affordable microscopes marketed to student/amateur users","Prepared slides and inexpensive sets retailed; professional preparers represented",A_CONTEXT,CONTEXT,"Identify purchases by institute/society members or institutions",https://microscopist.net/ParkesJ.html
UKWMC024,West Midlands,Birmingham,Southall Brothers & Barclay commercial supply network,commercial pharmaceutical/scientific supplier,c1890 onward,"Microscopes/scientific equipment retailed","Prepared botanical bacteriological zoological and histological slides retailed",A_CONTEXT,CONTEXT,"Crosswalk customers with adult science/pharmacy institutions",https://www.microscopist.net/SouthallBros.html
UKWMC025,Yorkshire,Bradford,Bradford Mechanics' Institute / Bradford Scientific Association / Bradford NHMS,mechanics' institution and allied societies,late 19c,"Microscopy among early demonstrations; BSA met at Mechanics' Institute; close NHMS relation","West Yorkshire Archives reportedly holds geological/botanical glass slides; ownership provenance unresolved",B,HIGH_PRIORITY,"Inspect archive; distinguish microscope from lantern slides; reconstruct owner/custody chain",https://bradfordunconsideredtrifles.wordpress.com/2015/02/22/who-was-james-monckman/
UKWMC026,Yorkshire,Huddersfield,Huddersfield Naturalists' Society / Mechanics' Institution ecology,working-class naturalist society and mechanics-institute interface,1860-1865,"Working-class naturalist society owned powerful microscope; collections shown at Mechanics' Institution exhibitions","Slides not isolated; specimen exchange documented",B,HIGH_PRIORITY,"Minute books; object lists; preparation vocabulary; member slide makers",https://undergroundhistories.wordpress.com/bretheren-in-the-temple-of-science-natural-history-across-the-class-divide-huddersfield-c1848-1865/
UKWMC027,North West England,Liverpool,Liverpool Mechanics' Institution,mechanics' institution,c1840,"J B Dancer used gas microscope to project flea wood sections and other objects","Standard glass slide use not demonstrated",B,OPEN,"Lecture notices; apparatus lists; Dancer object/slide catalogues",https://microscopist.net/DancerJB.html
UKWMC028,East of England,Cambridge,Cambridge Working Men's Club and Institute,working men's club and institute,1860s-1870s,"Separate later institution; 1876 Arts Industry and Manufactures exhibition medal survives","No microscopy/slide trace surfaced",C,HIGH_PRIORITY,"Programmes; exhibition catalogue; accounts; relationship to 1855 College",https://data.fitzmuseum.cam.ac.uk/id/object/229050
UKWMC029,East of England,Cambridge,Barnwell working-men classes / Newnham network,adult school / university-linked voluntary education,late 19c,"Newnham students taught working men in St Matthew's Schoolroom","No microscopy/slide trace surfaced",C,OPEN,"Class subjects; Newnham papers; natural-history teachers; Barnwell press",https://www.gutenberg.org/cache/epub/53909/pg53909-images.html
UKWMC030,East of England,Cambridge,Castle End Mission and Working Men's Institute,mission / working men's institute,1884 onward,"Adult-education node in Cambridge town-gown ecology","No microscopy/slide trace surfaced",C,OPEN,"Annual reports; apparatus; class programmes; teacher crosswalk",https://www.geograph.org.uk/photo/4341185
UKWMC031,Scotland,Glasgow,Glasgow Mechanics' Institution,mechanics' institution,1823-1887,"Major mechanics' institution with surviving archive","No direct microscopy/slide trace surfaced",C,REGIONAL_CONTROL,"Strathclyde records: science lectures; museum; apparatus; microscope/preparation terms",https://atom.lib.strath.ac.uk/college-of-science-and-arts-records%3Bisad
UKWMC032,Scotland,Edinburgh,William Nicol / J D Forbes geological thin-section network,preparation technology context,1830s,"Early microscopical mineral investigation","Surviving glass-mounted fossil wood/mineral thin sections",A_CONTEXT,CONTEXT,"Trace transfer into mechanics/adult-science teaching and later geological slide markets",https://www.trove.scot/image/2932657
UKWMC033,Wales,Industrial Wales,Workmen's Institutes landscape,workmen's institutes,1880s-1899,"Dense self-education lecture/library infrastructure","No secure nineteenth-century microscopy/slide node surfaced",C,REGIONAL_FRONTIER,"Institution-by-institution newspapers; field clubs; Science and Art classes; cabinets",https://www.peoplescollection.wales/content/laying-foundations-workmens-institutes
UKWMC034,Yorkshire,Leeds,Leeds Mechanics' Institute / local naturalist interface,mechanics' institution and naturalist ecology,19c,"Naturalists and mechanics-institute settings overlap; local microscopy active","Specific institute-owned slides not isolated",C,OPEN,"Conversazioni; Leeds Naturalists' Field Club; local mounters; institute inventory",https://www.studylib.net/doc/7662864/william-barwell-turner--1845-%E2%80%93-1917---life---microscopy-uk
UKWMC035,Scotland,Prestwick,Prestwick working-men education arrangement,working-men education,1860s,"Similar unpaid-teaching arrangement to Ayr reported","No science/microscopy trace surfaced",C,REGIONAL_CONTROL,"Local press and institutional identity; determine whether formally styled college",https://www.futuremuseum.co.uk/collections/life-work/social-history/home-life/education/p4
