edge_id,date_or_range,source_node,target_node,relation,object_or_practice,evidence_level,claim_boundary,archive_or_source
DM012,1866,John Ruskin,British Museum vs Working Men's College,articulates_functional_partition,"national museum as custody/treasuring vs adult educational institution as teaching",A_PRIMARY_CONTEXT,"Ruskin's normative argument; not evidence of actual institutional impermeability",Ruskin letter The British Museum 1866
DM013,1871-1875,Devonshire Commission,N S Maskelyne position,reports_functional_partition,"Keeper may lecture elsewhere; systematic formal lectures should not become museum duty; museum may host specimen demonstrations",A_PRIMARY_CONTEXT,"Commission report of evidence/position; contextualizes cross-institution actor mobility",Devonshire Commission report
DM014,Oct 1875-Jan 1877,Thomas Davies,British Museum daily duties,diary,"official daily-duty diary",A_ARCHIVE,"Earliest currently identified volume begins 1875; MUST NOT be used as contemporaneous evidence for 1858-62 apprenticeship",DF/MIN/20/2/1
DM015,1875-late 1880s,Thomas Davies,British Museum daily duties,diary_series,"object intake; lab/custody; microscopy and preparation targets",A_ARCHIVE,"Excellent late-career source; coverage begins too late for formation period",DF/MIN/20/2/1-12
DM016,1876,Clifton Ward,N S Maskelyne / Mineralogy Department,sends,"thin sections from Lake District and Wales; accession range 85498-86211",A_OBJECT_DOC,"Range spans 714 numbers if continuous; physical slide count/unity NOT verified",DF/MIN/10/3/36
DM017,1876,Thomas Davies diary,Clifton Ward thin-section batch,potential_crosswalk,"daily-duty chronology overlaps section intake",B_TARGET,"Crosswalk not yet performed; do not claim Davies handled each item until diary/list inspection",DF/MIN/20/2/1 + DF/MIN/10/3/36
DM018,1816-1970,Mineralogy Invoices and Accounts,early preparation-invoice hypothesis,excluded_route,"series-level description mentions preparation invoices but surviving relevant child files are twentieth-century",X_EXCLUDED,"Do NOT use DF/MIN/21 as an 1858-63 microscope/sectioning invoice route; financial journals with preparation begin 1910/1937 and explicit preparation-account invoices 1945",DF/MIN/21; DF/MIN/21/30; /14; /15
DM019,1951,J A Arnold-Foster / Story-Maskelyne estate,NHM,donates,"papers minerals laboratory equipment and slides",A_CUSTODY,"Catalogue word 'slides' is hard; slide type and relation to early meteorite sections unresolved",DF/MIN/20/1/4; legacy donation correspondence DF1/55
DM020,1951 legacy ref,NHM Archives,project,legacy_crosswalk_needed,"DF1/55 donation correspondence/inventory route",TARGET,"Do not mechanically map old DF1/55 to a current DF/MIN shelfmark",NHM archivist enquiry target
DM021,1858,British Museum Trustees,Mineralogy Department,authorises,"annual authorisations resulting from Trustees meetings",A_ARCHIVE_TARGET,"Bundle may include staff/purchase/accommodation actions; individual contents not catalogued; no apparatus claim yet",DF/MIN/5/56
DM022,1859,British Museum Trustees,Mineralogy Department,authorises,"annual authorisations resulting from Trustees meetings",A_ARCHIVE_TARGET,"Individual contents require physical inspection",DF/MIN/5/57
DM023,1860,British Museum Trustees,Mineralogy Department,authorises,"annual authorisations resulting from Trustees meetings",A_ARCHIVE_TARGET,"Individual contents require physical inspection",DF/MIN/5/58
DM024,1861,British Museum Trustees,Mineralogy Department,authorises,"annual authorisations; prime year for custom microscope/apparatus search",A_ARCHIVE_TARGET,"Parent series covers purchases staff accommodation etc; catalogue does NOT state microscope is in this file",DF/MIN/5/59
DM025,1862,British Museum Trustees,Mineralogy Department,authorises,"annual authorisations; prime year for Davies promotion search",A_ARCHIVE_TARGET,"Catalogue does NOT itemize Davies promotion; verify in file",DF/MIN/5/60
DM026,1863,British Museum Trustees,Mineralogy Department,authorises,"annual authorisations during consolidation of meteorite/thin-section work",A_ARCHIVE_TARGET,"Individual contents require physical inspection",DF/MIN/5/61
DM027,1900-1972,Mineralogy Annual Reports of Progress,1858-63 formation period,excluded_route,"series begins 1900",X_EXCLUDED,"Do not cite DF/MIN/16 as surviving 1861 annual-report series",DF/MIN/16
DM028,1857-1861,Keeper of Mineralogy,Department of Mineralogy,internal_correspondence,"staffing finance/accounts receipt of collections exhibits security heating/lighting procedure",A_ARCHIVE_TARGET,"Series subjects are explicit; specific Davies/microscope entries not itemized",DF/MIN/15/1
DM029,1862-1867,Keeper of Mineralogy,Department of Mineralogy,internal_correspondence,"staffing and departmental execution after Trustee decisions",A_ARCHIVE_TARGET,"Prime route for Davies regrading and continuing optical/meteorite work; contents not itemized",DF/MIN/15/2
DM030,1858-1938,correspondents,Nevil Story-Maskelyne / G F Herbert Smith,correspondence,"broad file beginning in Davies formation year",B_ARCHIVE_TARGET,"Catalogue foregrounds later items; presence of relevant 1858-63 correspondence not guaranteed",DF/MIN/20/1/3 formerly DF3/4
DM031,1906-1977,Keeper of Mineralogy Staff Files,1858-63 Davies staffing question,excluded_route,"individual scientific staff files",X_EXCLUDED,"Series begins 1906; cannot supply contemporaneous Davies 1858 appointment/1862 promotion file",DF/MIN/6
DM032,1854-1873,Working Men's College,students,student_lists,"student lists; earliest records occupation",A_ARCHIVE_TARGET,"Use name+occupation/address/class context to disambiguate BM Thomas Davies",LMA/4535 student lists
DM033,1854-1997,Working Men's College,Council,council_minutes,"governance and lecture/institutional decisions",A_ARCHIVE_TARGET,"Priority search for Maskelyne election/lecture dates/topics; exact subreference not yet resolved from top-level catalogue",LMA/4535 Council Minutes
DM034,1857-1878,Working Men's College,Directors,directors_minutes,"operational governance",A_ARCHIVE_TARGET,"Search science lectures equipment rooms and Maskelyne; exact subreference not yet resolved",LMA/4535 Directors Minutes
DM035,1858-1905,Working Men's College,College finances,ledger,"financial fortunes and possible class/object expenditures",A_ARCHIVE_TARGET,"Do not assume class-level or apparatus detail until inspected",LMA/4535 College ledgers
DM036,18 May 1861,British Museum Standing Committee,Meteorite acquisition/exchange administration,minutes,"Standing Committee Minute vol XXIX p9963",A_PRIMARY_ROUTE,"Published scholarship gives exact historic reference; not currently identified as microscope authorisation",British Museum Archives Standing Committee Minutes vol XXIX p9963
DM037,25 May 1861,British Museum Standing Committee,Meteorite acquisition/exchange administration,minutes,"Standing Committee Minute vol XXIX p9970",A_PRIMARY_ROUTE,"Contemporaneous meteorite administrative context; do not convert to microscope evidence",British Museum Archives Standing Committee Minutes vol XXIX p9970
DM038,5-6 Nov 1862,Maskelyne/Owen,British Museum Trustees,reports,"Officers' Reports vol 69 Aug-Dec 1862",A_PRIMARY_ROUTE,"Exact references supplied by historical study of Melbourne meteorites; relevant to acquisition/exchange not Davies promotion unless original says so",British Museum Archives Officers' Reports vol 69
DM039,Dec 1879,Nevil Story-Maskelyne,MacTear microscopic particles,tests_on_glass,"particles mounted on glass microscope slide and examined in polarized light before chemical tests",A_OBJECT_METHOD,"Control case establishes departmental glass-slide diagnostic practice immediately before Hannay; not Davies-specific",Bannister & Lonsdale 1943 quoting Maskelyne Times letter
DM040,19 Feb 1880,J B Hannay,Nevil Story-Maskelyne,sends_for_identification,"minute purported artificial-diamond particles; optical goniometric hardness combustion tests",A_OBJECT_EVENT,"Maskelyne's tests explicit; exact division of labour with Davies not stated",Maskelyne Times letter reproduced Bannister & Lonsdale 1943
DM041,1880,Hannay particle residue,glass slide,mounted,"12 minute particles mounted in Canada balsam on glass",A_OBJECT,"Mounting/preparer identity not stated; do not attribute mounting to Davies",Bannister & Lonsdale 1943
DM042,1880?,Thomas Davies,BM87756 working identity,labelled_documented,"card label 'Hannay's artificial diamonds' in Davies handwriting",A_OBJECT_PERSON,"Hard hand/object relation; exact date of card and mounting hand unresolved",Bannister & Lonsdale 1943
DM043,Jun 1880,BM87756 glass-mounted fragments,Bloomsbury to South Kensington,survives_move,"glass-mounted microscopic material preserved through Mineral collections relocation",A_CUSTODY,"Article emphasizes survival of fragments mounted on glass; precise packing/cabinet route open",Bannister & Lonsdale 1943
DM044,Apr 1878-Oct 1880,Thomas Davies,BM87756 episode,contemporaneous_diary_target,"official diary spans Feb 1880 Hannay tests and Jun 1880 museum removal",A_ARCHIVE_TARGET,"Diary is confirmed to cover period but has not yet been read for Hannay/slide entries",DF/MIN/20/2/3
DM045,1901,L J Spencer,BM87756,formal_registration,"catalogued registered and labelled as B.M.87756",A_CUSTODY,"Separates later formal accession identity from Davies-era working card",Bannister & Lonsdale 1943
DM046,1943,Bannister and Lonsdale,BM87756,reactivates,"polarizing-microscope examination followed by X-ray analysis; 11 of 12 particles identified as diamond",A_REEXAMINATION,"Shows later activation of old preparation; analytical handling may have altered mount and must be checked",Bannister & Lonsdale 1943
DM047,modern,Natural History Museum,BM87756,current_custody_signal,"published photo credit gives Trustees NHM and collection number BM.87756",A_CURRENT_SIGNAL,"Supports survival of material/current number; does NOT prove original glass slide and Davies card remain intact today",Gemmological Association of Australia Early History of Synthetic Diamond
