entry_id,country,institution_current,institution_historical,collection_title_or_search_entry,source_type,source_url,stable_id_pattern,site_adapter,slide_certainty,stated_count,harvestable_item_count,person_or_collection_name,relationship_phrase,date_range,subject_scope,physical_structure,image_level,label_visibility,provenance_value,automation_feasibility,event_side_hooks,exclude_reason,notes
US-SMITHSONIAN-ALGAE-SLIDES,US,Smithsonian National Museum of Natural History,U.S. National Herbarium,Algae Herbarium microscope slides,collection page,https://naturalhistory.si.edu/research/botany/research/algae/algae-herbarium,collections.nmnh.si.edu/search/botany/,smithsonian_algae_static,confirmed microscope slides,part of 224000+ accessioned algal specimens; exact slide count unstated,collection page plus Botany Collections Search,U.S. National Herbarium Algal Collection,held by; mounted by; collected by,historical to current,marine; estuarine; freshwater; terrestrial algae; anatomical sections,permanently mounted stained sections; whole or partial specimens,collection images,labels accessible through collections search,A,static HTML,Smithsonian Botany Collections Search; collector and expedition records,,Official page distinguishes microscope slide preparation types and links to searchable collection data.
US-REIMER-DIATOM-HERBARIUM,US,Iowa Lakeside Laboratory / Iowa state universities,,Reimer Diatom Herbarium ILH,USGS publication page,https://www.usgs.gov/publications/reimer-diatom-herbarium-important-resource-teaching-and-research,,reimer_diatom_literature,confirmed permanent microscope slides,3280 permanent diatom slides,literature summary only,Reimer Diatom Herbarium; C.W. Reimer,held by; identified by; verified by,historical research collection,diatoms; prairie potholes; fens; bogs; lakes; fossil deposits,permanent slide herbarium; taxon and location card catalogues,publication images possible,slide labels and objective markers described,A,static HTML,ILH catalogues; USGS publications; taxon and locality cards,,Includes six holotypes; strong label/index structure even though current source is publication-level.
CA-UBC-SPENCER-SLIDE-COLLECTION,CA,University of British Columbia Spencer Entomological Collection,,Spencer Slide Collection,collection page,https://www.zoology.ubc.ca/entomology/,,ubc_spencer_collection,confirmed microscope slides,over 8000 microscope slides,collection page with View gallery/search possible,G.J.S. Spencer personal slide collection,held by; collected by,historical personal collection,fleas; lice; global entomology,named personal slide collection,collection gallery possible,metadata via gallery/search,A,paginated HTML,Spencer papers; entomology publications; specimen gallery,,Excellent person-to-collection node with explicit count and worldwide scope.
CA-CMN-FOSSIL-FUNGI-SLIDES,CA,Canadian Museum of Nature,,Palaeomycology fossil fungal slide reference collection,collection page,https://nature.ca/en/our-science/collections/palaeobiology-collections/,,cmn_palaeobiology_static,confirmed microscope slides,approximately 1100 fossil fungal reproductive structures on slides,collection page only,Canadian Museum of Nature fossil fungi reference collection,held by,current collection with historical specimens,fossil fungi; palaeomycology; reproductive structures,cabinet/tray slide reference collection,collection images,labels visible in collection imagery,A,static HTML,palaeobotany records; collection catalogues; fungal research literature,,Official collection page gives explicit slide-based reference collection and approximate size.
CA-MCGILL-ARCHIVE-MICROSCOPE-SLIDES,CA,McGill University Archives,,Box of forty-eight historic microscope slides,archive news/collection feature,https://news.library.mcgill.ca/a-rainbow-of-microscopic-specimens-in-mcgill-university-archives/,,mcgill_archive_static,confirmed glass microscope slides,48 slides,archive feature; finding aid target,McGill University Archives microscope slide box,held by; archived by,historical; rediscovered before 2018,mixed microscopic specimens,original fragile wooden box,feature photographs,handwritten/printed labels visible,B,static HTML,McGill Archives finding aid; accession records; university science history,,Small but unusually coherent batch-level object with original box; useful preservation/provenance comparator.
AU-TIEGS-MUSEUM-MICROSCOPE-SLIDES,AU,University of Melbourne Tiegs Museum,,Historical microscope slide collection,museum history page,https://biosciences.unimelb.edu.au/engage/tiegs-museum/history-of-the-museum,,tiegs_museum_static,confirmed microscope slides,extensive collection; exact count unstated,museum page only,Tiegs Museum microscope slides; Walter Baldwin Spencer contributions,held by; contributed by,1887 onward,zoology; Australian animals; teaching and research,extensive university zoology slide collection,museum images,unknown,B,static HTML,University of Melbourne archives; Spencer papers; zoology teaching records,,Historical university museum established in 1887; slide collection explicitly includes Spencer contributions.
AU-GEOSCIENCE-MICROSCOPE-SLIDE-COLLECTIONS,AU,Geoscience Australia,predecessor Commonwealth geological organisations,Microscope slide based collections,conference project page,https://conference.eresearch.edu.au/breathing-new-life-into-old-collections-using-citizen-science-to-revitalise-geoscience-australias-microscope-slide-based-collections/,,geoscience_australia_literature,confirmed microscope slide based collections,significant collection; exact count unstated,project page only,Geoscience Australia microscope slide based collections,held by; produced from; collected by,from soon after Australian federation onward,rock thin sections; microfossils; geological mapping; expeditions,slide-based geological collections,project imagery possible,labels/metadata central,B,static HTML,Geoscience Australia collection systems; mapping programs; expedition archives,,Include as geological/microfossil comparator; source is conference/project description rather than collection catalogue.
NZ-NATL-LIBRARY-MANTELL-SLIDES,NZ,National Library of New Zealand Alexander Turnbull Library,Mantell family collection,Gideon Mantell microscope slides,archival collection record,https://natlib.govt.nz/records/22631730,natlib.govt.nz/records/{record_id},natlib_mantell_record,confirmed microscopic slides,10 boxes of slides within 3-object series,archival record plus 1948 contents list,Gideon Algernon Mantell slides,collected by; held by,circa 1820s-1840s,geology; botany; zoology; pathology,10 boxes; collection list created 1948,record images may vary,finding aid/list explicitly mentioned,A,static HTML,Mantell family papers; 1948 C.W. Strathern slide list; acquisition records,,Exceptional early nineteenth-century batch with named former owner and surviving contents list.
NL-NATURALIS-MICROFOSSIL-SLIDES,NL,Naturalis Biodiversity Center,,Micropaleontology microscope-slide collection,collection page,https://www.naturalis.nl/en/collection/fossil-invertebrates,data.biodiversitydata.nl/naturalis/specimen/{id},naturalis_collection_static,confirmed microscope slides,approximately 130000 microscope/plastic slides,collection page plus Bioportal specimen records,Naturalis micropaleontology collections,held by; collected by,historical to current,foraminifera; microfossils; conodonts; plant fragments,microscope slides and plastic slides,item data available in Naturalis Bioportal,barcodes/labels in specimen images likely,A,static HTML,Naturalis Bioportal; geological service collections; micropalaeontology literature,,Promotes prior broad Naturalis candidate into a specific 130k microfossil slide node; keep plastic slides as separate material subtype.
DE-MFN-LAMONT-MICROPALEONTOLOGY-SLIDES,DE,Museum fuer Naturkunde Berlin,Lamont Earth Observatory collection,Lamont radiolarian and diatom slide collection,collection page,https://www.museumfuernaturkunde.berlin/en/science/micropaleontology-collections,,mfn_micropaleontology_static,confirmed microscope slides,about 40000 radiolarian slides plus 30000 diatom slides,collection page only,Lamont collection; James D. Hays; Lloyd Burckle,acquired by; prepared by,prepared 1960s-circa 2000; acquired June 2021,radiolarians; diatoms; deep-sea sediments; CLIMAP,large transferred slide collection,collection images possible,collection metadata likely,A,static HTML,Lamont archives; CLIMAP publications; acquisition records,,Strong transfer/provenance node: ca. 70,000 slides acquired as one named collection in 2021.
DK-NHMD-DESMID-SLIDES,DK,Natural History Museum of Denmark / University of Copenhagen,Algal Herbarium,Danish desmid historical slide collections,digitised collection site,https://desmid.ku.dk/english/,,nhmd_desmid_static,confirmed microscope slides,510 microscope slides,digitised collection searchable through site,J.P. Jacobsen; Richard T. Hoff; Nordstedt; Børgesen collections,held by; collected by; digitised by,nineteenth century collections; modern digitisation,desmids; freshwater algae,two historical collections; digitised slide set,digital slide images/search,labels searchable,A,static HTML,Jacobsen/Nordstedt/Børgesen publications; herbarium records,,Particularly strong nineteenth-century publication-to-object bridge with a searchable digitised corpus.
SE-NRM-INVERTEBRATE-SLIDES,SE,Swedish Museum of Natural History,,Invertebrates Collection NRM,dataset/collection metadata,https://www.gbif.se/ipt/resource.do?r=nrm-invertebrates,GBIF occurrence identifiers,nrm_gbif_dataset,confirmed microscope slides among preserved collection,over 500000 lots across ethanol dry and microscope slides; slide count unstated,229000+ digital occurrence records in 2026 dataset,NRM Invertebrates Collection,held by; digitised by,historical to current,invertebrates excluding insects; worldwide,ethanol; dry; microscope slides,DwC-A/GBIF dataset,record metadata,A,API,GBIF Sweden; NRM collections database; type dataset,,Useful API-oriented node even though exact microscope-slide subset count must be filtered from occurrence data.
AT-NHMW-SCALE-INSECT-SLIDES,AT,Naturhistorisches Museum Wien,,Scale insect microscope slide collection,peer-reviewed museum journal article,https://www.zobodat.at/pdf/ANNA_118B_0019-0028.pdf,,nhmw_scale_insect_literature,confirmed microscope slides,about 600 microscope slides,literature table can enumerate species/types,NHMW scale insect collection,held by; mounted by; remounted by,historical collection surveyed 2014-2015,scale insects; Coccoidea; types,slide collection with labels and remounting/type annotations,article figures,label fields described,A,static HTML,museum accession records; ZOBODAT tables; scale-insect literature,,Labels preserve species, locality, host plant, identifier, remounting and type-designation data; exact item list is article/table based.
CZ-CHARLES-CAUP-DIATOM-SLIDES,CZ,Charles University Department of Botany,CAUP Culture Collection of Algae,Permanent diatom slides,collection/database page,https://botany.natur.cuni.cz/algo/diatoms.html,,caup_diatom_static,confirmed permanent microscope slides,exact count unstated,lists by taxa and locality available,CAUP permanent diatom slide collection,held by; digitised by,historical to current,diatoms; algal taxonomy,permanent slide lists; taxa and locality indexes,digitisation/microphotographs planned or linked,labels/index data,B,static HTML,Charles University botany records; algal publications,,Structured taxon/locality lists make this more valuable than count alone.
JP-KAHKU-MRC-MICROFOSSIL-SLIDES,JP,National Museum of Nature and Science Tokyo,Micropaleontological Reference Center,IODP microfossil microscope slide reference collection,official institutional page,https://www.kahaku.go.jp/english/kenkyu/kokusai.html,,kahaku_mrc_static,confirmed microscope slides,international reference centre; exact slide count unstated,official programme page only,Micropaleontological Reference Center microfossil specimens,held by; prepared by; distributed by,current IODP/MRC programme,microfossils; foraminifera; radiolarians; diatoms,reference-center slide collection; distributed duplicate/reference material,programme images,metadata via museum systems likely,B,static HTML,IODP records; MRC exchange/distribution records; Science Museum Net,,Important Asia-Pacific reference/distribution node even without published count.
ZA-IZIKO-ENTOMOLOGY-SLIDES,ZA,Iziko Museums of South Africa,South African Museum,Entomology microscope slide collection,official collection page,https://www.iziko.org.za/collection/entomology/,,iziko_entomology_static,confirmed microscope slides,5644 microscope slides,collection page; Specify database context,Iziko entomology collections,held by; digitised by,historical to current,Insecta; Arachnida; Myriapoda; Onychophora; Acarina,microscope slides within major entomology collection,collection images,database metadata,A,static HTML,Specify6 records; type registers; Afrotropical entomology literature,,Strong southern-African institutional endpoint with explicit slide count and digitised collection context.
